,date,SCFI,SCFI_boxcox
0,2014년 01월 02일,1176.12,0.7300931102785397
1,2014년 01월 09일,1167.53,0.7146965747442356
2,2014년 01월 16일,1188.44,0.751784027383343
3,2014년 01월 23일,1173.99,0.726296496089523
4,2014년 01월 30일,1168.25,0.7159958416109711
5,2014년 02월 06일,1164.7,0.7095740605116129
6,2014년 02월 13일,1094.83,0.5746455836959118
7,2014년 02월 20일,1036.86,0.4487945908380975
8,2014년 02월 27일,981.06,0.31350525552592445
9,2014년 03월 06일,934.39,0.18785468287245913
10,2014년 03월 13일,945.32,0.21840185204222054
11,2014년 03월 20일,929.43,0.1737538741720835
12,2014년 03월 27일,1067.44,0.5168979133123696
13,2014년 04월 03일,1064.87,0.5113259542369089
14,2014년 04월 10일,1067.42,0.5168546560597644
15,2014년 04월 17일,1047.97,0.4739999996322678
16,2014년 04월 24일,1068.18,0.518497285115681
17,2014년 05월 01일,1143.87,0.6710848435099344
18,2014년 05월 08일,1163.06,0.7065940482605744
19,2014년 05월 15일,1161.39,0.7035508151328426
20,2014년 05월 22일,1115.36,0.6160578193039983
21,2014년 05월 29일,1108.64,0.6026725367587192
22,2014년 06월 05일,1088.41,0.5613725513551188
23,2014년 06월 12일,1075.43,0.5340495946289626
24,2014년 06월 19일,1042.84,0.46242869292358313
25,2014년 06월 26일,1058.67,0.497771754525992
26,2014년 07월 03일,1129.42,0.6435445551005576
27,2014년 07월 10일,1100.15,0.5855262468600722
28,2014년 07월 17일,1080.06,0.5438716303268198
29,2014년 07월 24일,1060.75,0.5023367523895214
30,2014년 07월 31일,1195.36,0.7637701100788294
31,2014년 08월 07일,1171.63,0.7220736861787318
32,2014년 08월 14일,1120.82,0.6268143668775532
33,2014년 08월 21일,1076.47,0.5362632484747478
34,2014년 08월 28일,1107.19,0.5997628841543083
35,2014년 09월 04일,1133.85,0.6520628315372162
36,2014년 09월 11일,1069.11,0.5205041452096244
37,2014년 09월 18일,997.25,0.3543283305688288
38,2014년 09월 25일,935.81,0.19186390154609156
39,2014년 10월 02일,935.81,0.19186390154609156
40,2014년 10월 09일,911.03,0.12009401506238801
41,2014년 10월 16일,962.72,0.2655908860997919
42,2014년 10월 23일,967.31,0.2777541532179962
43,2014년 10월 30일,1112.0,0.6093855396019425
44,2014년 11월 06일,1062.46,0.5060762284412137
45,2014년 11월 13일,1050.72,0.48015610558482835
46,2014년 11월 20일,1012.67,0.39198808507780725
47,2014년 11월 27일,949.65,0.23030758038726556
48,2014년 12월 04일,919.0,0.14360245743689867
49,2014년 12월 11일,1135.55,0.6553139284052651
50,2014년 12월 18일,1120.33,0.6258533475427347
51,2014년 12월 25일,1076.63,0.5366034284175348
52,2015년 01월 01일,1048.88,0.47604070907649876
53,2015년 01월 08일,1006.34,0.37666912495713717
54,2015년 01월 15일,1055.09,0.48987225286148256
55,2015년 01월 22일,1091.48,0.5677392388383534
56,2015년 01월 29일,1054.13,0.4877447650174615
57,2015년 02월 05일,1087.32,0.5591033583227342
58,2015년 02월 12일,1088.28,0.5611021540287334
59,2015년 02월 19일,1088.28,0.5611021540287334
60,2015년 02월 26일,1023.04,0.4166716513638797
61,2015년 03월 05일,960.29,0.2591041171534297
62,2015년 03월 12일,887.61,0.04855436214491074
63,2015년 03월 19일,821.39,-0.17595446025611355
64,2015년 03월 26일,804.59,-0.23882964469228915
65,2015년 04월 02일,763.95,-0.40244146105826917
66,2015년 04월 09일,792.92,-0.2840840627013583
67,2015년 04월 16일,721.61,-0.5926324603571927
68,2015년 04월 23일,702.46,-0.6862341234337809
69,2015년 04월 30일,761.02,-0.41491710170975027
70,2015년 05월 07일,830.13,-0.14425726954742582
71,2015년 05월 14일,757.66,-0.4293431808138081
72,2015년 05월 21일,676.05,-0.8240778907482132
73,2015년 05월 28일,661.55,-0.9044692913632703
74,2015년 06월 04일,623.47,-1.1335153834883982
75,2015년 06월 11일,581.25,-1.422777238043773
76,2015년 06월 18일,556.72,-1.6111189527456866
77,2015년 06월 25일,640.64,-1.0268483107228021
78,2015년 07월 02일,745.45,-0.48286862939009706
79,2015년 07월 09일,666.02,-0.8793109938002291
80,2015년 07월 16일,593.2,-1.3367005984603288
81,2015년 07월 23일,548.77,-1.6757941546602786
82,2015년 07월 30일,822.39,-0.17229342174190637
83,2015년 08월 06일,749.62,-0.46439110986632964
84,2015년 08월 13일,745.6,-0.48220036369488145
85,2015년 08월 20일,674.54,-0.832287456494636
86,2015년 08월 27일,690.38,-0.7479672234437249
87,2015년 09월 03일,718.97,-0.6052380987377719
88,2015년 09월 10일,673.25,-0.8393302791636524
89,2015년 09월 17일,622.6,-1.1390777642065482
90,2015년 09월 24일,571.95,-1.4922699682407274
91,2015년 10월 01일,571.95,-1.4922699682407274
92,2015년 10월 08일,533.91,-1.8018800605898846
93,2015년 10월 15일,568.71,-1.5170174271591519
94,2015년 10월 22일,537.73,-1.7687982556842348
95,2015년 10월 29일,759.0,-0.42357451238053984
96,2015년 11월 05일,641.51,-1.0215964370835153
97,2015년 11월 12일,544.33,-1.712741767136582
98,2015년 11월 19일,484.14,-2.280904170771623
99,2015년 11월 26일,535.22,-1.7904817351368554
100,2015년 12월 03일,494.1,-2.1772723105535086
101,2015년 12월 10일,527.17,-1.8614257309523587
102,2015년 12월 17일,487.26,-2.2479828555338877
103,2015년 12월 24일,488.68,-2.233139430695193
104,2015년 12월 31일,836.96,-0.11995084351030387
105,2016년 01월 08일,745.91,-0.48082013844867993
106,2016년 01월 15일,680.22,-0.8015969403351431
107,2016년 01월 22일,615.77,-1.1832950965513547
108,2016년 01월 29일,591.51,-1.3486613535275465
109,2016년 02월 05일,566.92,-1.5308116745104907
110,2016년 02월 19일,486.7,-2.2538605514345362
111,2016년 02월 26일,467.54,-2.4634934477197774
112,2016년 03월 04일,433.46,-2.8824411697745442
113,2016년 03월 11일,404.18,-3.299138766905802
114,2016년 03월 18일,400.43,-3.356933188591391
115,2016년 03월 25일,418.47,-3.0884469175308076
116,2016년 04월 01일,511.99,-2.001312234235876
117,2016년 04월 08일,489.68,-2.222738269275882
118,2016년 04월 15일,472.07,-2.4123851227323114
119,2016년 04월 22일,457.7,-2.578015668812663
120,2016년 04월 29일,603.64,-1.2643065580372101
121,2016년 05월 06일,579.6,-1.4349428806061606
122,2016년 05월 13일,563.22,-1.559604536974365
123,2016년 05월 20일,526.39,-1.86841580094732
124,2016년 05월 27일,577.81,-1.4482198103230939
125,2016년 06월 03일,588.59,-1.369490124199974
126,2016년 06월 08일,557.6,-1.604073978206864
127,2016년 06월 17일,521.6,-1.9118031053564841
128,2016년 06월 24일,550.64,-1.6604122643900625
129,2016년 07월 01일,752.65,-0.45109425950001303
130,2016년 07월 08일,677.7,-0.8151492650631366
131,2016년 07월 15일,670.29,-0.8555936664383826
132,2016년 07월 22일,628.59,-1.1010943090484466
133,2016년 07월 29일,745.2,-0.48398300723988447
134,2016년 08월 05일,680.53,-0.7999367658292634
135,2016년 08월 12일,634.54,-1.0640788048228997
136,2016년 08월 19일,597.47,-1.3067835162568793
137,2016년 08월 26일,596.38,-1.3143794600790897
138,2016년 09월 02일,763.06,-0.40622079351864354
139,2016년 09월 09일,781.21,-0.3308616004067078
140,2016년 09월 14일,794.1,-0.2794473662368763
141,2016년 09월 23일,733.56,-0.5367148983342773
142,2016년 09월 30일,707.68,-0.6602142878040641
143,2016년 10월 14일,776.93,-0.3483129561409524
144,2016년 10월 21일,795.16,-0.2752940080968142
145,2016년 10월 28일,884.95,0.040187950133135135
146,2016년 11월 04일,860.48,-0.03921980256327671
147,2016년 11월 11일,825.1,-0.16241691040783213
148,2016년 11월 18일,814.01,-0.20325290842828203
149,2016년 11월 25일,782.1,-0.327256841016084
150,2016년 12월 02일,794.98,-0.27599850952261074
151,2016년 12월 09일,797.62,-0.2656978972401669
152,2016년 12월 16일,824.39,-0.16499816473653417
153,2016년 12월 23일,824.0,-0.16641794206296273
154,2016년 12월 30일,951.66,0.23579719202523935
155,2017년 01월 06일,968.4,0.28062554215339713
156,2017년 01월 13일,990.24,0.3368175909499826
157,2017년 01월 20일,971.64,0.2891223879859087
158,2017년 01월 26일,954.27,0.24289075105077856
159,2017년 02월 03일,948.08,0.2260033742703336
160,2017년 02월 10일,886.26,0.04431456881202825
161,2017년 02월 17일,830.46,-0.14307362153496866
162,2017년 02월 24일,815.1,-0.19918970594239924
163,2017년 03월 03일,778.86,-0.34041963823938565
164,2017년 03월 10일,761.15,-0.4143615255772214
165,2017년 03월 17일,747.03,-0.47584312523354283
166,2017년 03월 24일,758.81,-0.4243912102757111
167,2017년 03월 31일,830.02,-0.1446520294141219
168,2017년 04월 07일,809.27,-0.22105037549190099
169,2017년 04월 14일,810.17,-0.21765498772396996
170,2017년 04월 21일,807.55,-0.22756052948623146
171,2017년 04월 28일,909.25,0.11478702010108574
172,2017년 05월 05일,894.43,0.06977622881671376
173,2017년 05월 12일,865.03,-0.024112285092411794
174,2017년 05월 19일,830.8,-0.14185509534732949
175,2017년 05월 26일,853.43,-0.06294844610119231
176,2017년 06월 02일,894.86,0.07110335186877641
177,2017년 06월 09일,869.5,-0.009425375531611964
178,2017년 06월 16일,838.36,-0.11501779076082808
179,2017년 06월 23일,827.27,-0.15455536957201244
180,2017년 06월 30일,918.83,0.14310530776368438
181,2017년 07월 07일,889.38,0.054093571997719615
182,2017년 07월 14일,861.91,-0.034454424346853786
183,2017년 07월 21일,837.42,-0.1183281519258051
184,2017년 07월 28일,925.45,0.16232907344673084
185,2017년 08월 04일,897.28,0.07854839585704998
186,2017년 08월 11일,878.27,0.01895263133177667
187,2017년 08월 18일,859.92,-0.041090311891832466
188,2017년 08월 25일,821.35,-0.17610108843975808
189,2017년 09월 01일,801.95,-0.24895112238589404
190,2017년 09월 08일,774.27,-0.35925674133787616
191,2017년 09월 15일,774.6,-0.3578949432398089
192,2017년 09월 22일,735.91,-0.5259335949548188
193,2017년 09월 29일,715.97,-0.6196762525385391
194,2017년 10월 13일,724.93,-0.5769110764178716
195,2017년 10월 20일,747.38,-0.47429088739926584
196,2017년 10월 27일,806.81,-0.23037000565606622
197,2017년 11월 03일,818.73,-0.18573664291788497
198,2017년 11월 10일,782.25,-0.3266501102759
199,2017년 11월 17일,734.15,-0.5340015722602611
200,2017년 11월 24일,705.19,-0.672577693221023
201,2017년 12월 01일,732.04,-0.543725440044104
202,2017년 12월 08일,703.67,-0.6801681154749126
203,2017년 12월 15일,727.14,-0.5665260346812432
204,2017년 12월 22일,723.2,-0.5850851171305291
205,2017년 12월 29일,824.18,-0.16576249215833513
206,2018년 01월 05일,816.58,-0.19369017421177892
207,2018년 01월 12일,839.72,-0.11024153672545099
208,2018년 01월 19일,840.36,-0.1079992722341369
209,2018년 01월 26일,858.6,-0.04550908768828681
210,2018년 02월 02일,883.59,0.03589079507816149
211,2018년 02월 09일,871.76,-0.0020574836816280237
212,2018년 02월 14일,867.16,-0.017094814553635478
213,2018년 02월 23일,854.19,-0.060371503623812044
214,2018년 03월 02일,772.45,-0.3667883044751351
215,2018년 03월 09일,729.49,-0.5555525863653868
216,2018년 03월 16일,675.46,-0.8272812053380951
217,2018년 03월 23일,646.59,-0.9912142639242628
218,2018년 03월 30일,658.68,-0.9208035180024501
219,2018년 04월 04일,654.17,-0.9467629857989492
220,2018년 04월 13일,659.74,-0.9147540128690267
221,2018년 04월 20일,674.58,-0.8320695076672477
222,2018년 04월 27일,760.67,-0.41641383358286366
223,2018년 05월 04일,776.88,-0.3485179708047272
224,2018년 05월 11일,778.83,-0.3405420310383383
225,2018년 05월 18일,753.83,-0.4459450541458508
226,2018년 05월 25일,764.34,-0.4007881404193754
227,2018년 06월 01일,829.09,-0.14799375874176698
228,2018년 06월 08일,806.04,-0.23329889188661074
229,2018년 06월 15일,777.7,-0.34515908087252817
230,2018년 06월 22일,751.13,-0.4577511307320078
231,2018년 06월 29일,821.18,-0.17672441862964303
232,2018년 07월 06일,817.4,-0.1906517662535634
233,2018년 07월 13일,825.57,-0.16071065108261712
234,2018년 07월 20일,793.76,-0.2807819404810092
235,2018년 07월 27일,863.59,-0.028876232822607945
236,2018년 08월 03일,890.52,0.05764946306909642
237,2018년 08월 10일,893.88,0.06807687240979086
238,2018년 08월 17일,891.83,0.0617243186340713
239,2018년 08월 24일,901.66,0.09192101236607628
240,2018년 08월 31일,939.48,0.20216924030385194
241,2018년 09월 07일,921.36,0.1504849866193918
242,2018년 09월 14일,909.74,0.11625001985073707
243,2018년 09월 21일,890.21,0.05668341778757054
244,2018년 09월 28일,870.58,-0.005899632062993611
245,2018년 10월 12일,904.51,0.1005523577230664
246,2018년 10월 19일,926.25,0.16463345283937456
247,2018년 10월 26일,956.63,0.2492713032738451
248,2018년 11월 02일,976.52,0.3018129748157804
249,2018년 11월 09일,961.88,0.26335227781755427
250,2018년 11월 16일,951.57,0.23555188781694097
251,2018년 11월 23일,903.9,0.098709555663075
252,2018년 11월 30일,890.41,0.05730675031660783
253,2018년 12월 07일,861.55,-0.035652600186340075
254,2018년 12월 14일,848.65,-0.0792625634990856
255,2018년 12월 21일,833.85,-0.1309689295984982
256,2018년 12월 28일,910.81,0.11943922527693854
257,2019년 01월 04일,940.86,0.2060233339768417
258,2019년 01월 11일,940.08,0.2038463328965939
259,2019년 01월 18일,968.07,0.279756909647009
260,2019년 01월 25일,945.44,0.2187332820949503
261,2019년 02월 01일,934.44,0.1879960609055411
262,2019년 02월 15일,888.29,0.05068504884132134
263,2019년 02월 22일,847.75,-0.08235497615874718
264,2019년 03월 01일,803.71,-0.24219603416321606
265,2019년 03월 08일,766.92,-0.38989341838162916
266,2019년 03월 15일,742.1,-0.49786407399202987
267,2019년 03월 22일,727.88,-0.5630628736990472
268,2019년 03월 29일,793.49,-0.28184256948891917
269,2019년 04월 04일,792.25,-0.2867229510371224
270,2019년 04월 12일,782.46,-0.32580108058905444
271,2019년 04월 19일,761.74,-0.41184246336784963
272,2019년 04월 26일,778.0,-0.343931999240269
273,2019년 05월 10일,756.88,-0.43271052861879267
274,2019년 05월 17일,726.23,-0.5707945246622341
275,2019년 05월 24일,723.93,-0.5816311604545594
276,2019년 05월 31일,782.12,-0.3271759300503647
277,2019년 06월 06일,783.05,-0.3234181643095798
278,2019년 06월 14일,779.12,-0.3393592980368819
279,2019년 06월 21일,764.46,-0.4002797679546756
280,2019년 06월 28일,829.7,-0.14580102083497376
281,2019년 07월 05일,810.91,-0.2148689074902388
282,2019년 07월 12일,817.41,-0.19061475036907938
283,2019년 07월 19일,790.77,-0.2925680894687741
284,2019년 07월 26일,788.93,-0.29986579894993143
285,2019년 08월 02일,830.94,-0.1413536410144264
286,2019년 08월 09일,822.09,-0.17339079195884097
287,2019년 08월 16일,803.82,-0.24177482974974918
288,2019년 08월 23일,774.62,-0.3578124475547613
289,2019년 08월 30일,819.65,-0.18234610219260713
290,2019년 09월 06일,795.05,-0.2757244985927231
291,2019년 09월 12일,765.79,-0.3946560441286539
292,2019년 09월 20일,734.09,-0.534277303229516
293,2019년 09월 27일,722.9,-0.5865065867617092
294,2019년 10월 11일,715.97,-0.6196762525385391
295,2019년 10월 18일,746.63,-0.47761890480782765
296,2019년 10월 25일,774.27,-0.35925674133787616
297,2019년 11월 01일,847.11,-0.08455804932793295
298,2019년 11월 08일,837.99,-0.11631991311439155
299,2019년 11월 15일,797.78,-0.26507582304705074
300,2019년 11월 22일,765.47,-0.396007323665846
301,2019년 11월 29일,819.63,-0.1824197281340766
302,2019년 12월 06일,850.27,-0.07371282679829363
303,2019년 12월 13일,880.44,0.0258865021957474
304,2019년 12월 20일,904.83,0.1015180733203982
305,2019년 12월 27일,958.57,0.25449264692665097
306,2020년 01월 03일,1022.72,0.4159174955163662
307,2020년 01월 10일,1002.58,0.3674775096004825
308,2020년 01월 17일,990.68,0.33792403439963636
309,2020년 01월 23일,981.19,0.3138384522644776
310,2020년 02월 14일,910.58,0.11875433175784435
311,2020년 02월 21일,887.72,0.048899254835199926
312,2020년 02월 28일,875.76,0.010889202198350934
313,2020년 03월 06일,871.16,-0.0040098091346569146
314,2020년 03월 13일,911.85,0.12253179300330162
315,2020년 03월 20일,898.05,0.08090880289041372
316,2020년 03월 27일,889.8,0.05540470425424116
317,2020년 04월 03일,890.37,0.057182106362367875
318,2020년 04월 10일,867.82,-0.014927424012606508
319,2020년 04월 17일,829.29,-0.1472744705049008
320,2020년 04월 24일,818.16,-0.18784115477560853
321,2020년 04월 30일,852.27,-0.0668905935329942
322,2020년 05월 08일,855.07,-0.05739343618435961
323,2020년 05월 15일,854.08,-0.06074419640805286
324,2020년 05월 22일,847.63,-0.0827677972931783
325,2020년 05월 29일,920.38,0.14763130112772788
326,2020년 06월 05일,925.5,0.1624732146540032
327,2020년 06월 12일,1015.33,0.3983680526713821
328,2020년 06월 19일,988.82,0.33324003387231277
329,2020년 06월 24일,1001.33,0.36440639360855825
330,2020년 07월 03일,1055.13,0.48996081360062393
331,2020년 07월 10일,1033.58,0.44124889687883817
332,2020년 07월 17일,1035.61,0.4459246205214302
333,2020년 07월 24일,1022.03,0.414289729022164
334,2020년 07월 31일,1103.47,0.5922629049308448
335,2020년 08월 07일,1107.39,0.6001646716807444
336,2020년 08월 14일,1167.91,0.7153824999334036
337,2020년 08월 21일,1183.7,0.7434924695724398
338,2020년 08월 28일,1263.26,0.8743668797582563
339,2020년 09월 04일,1320.8,0.9591287949471808
340,2020년 09월 11일,1355.04,1.0061280240906514
341,2020년 09월 18일,1409.57,1.0762322530159556
342,2020년 09월 25일,1421.75,1.0911511468596213
343,2020년 09월 30일,1443.54,1.117208555675414
344,2020년 10월 09일,1438.22,1.110920042433089
345,2020년 10월 16일,1448.87,1.1234622512855035
346,2020년 10월 23일,1469.03,1.1467026921444796
347,2020년 10월 30일,1529.99,1.2132257453430098
348,2020년 11월 06일,1664.56,1.342711516191254
349,2020년 11월 13일,1857.33,1.4952958999099606
350,2020년 11월 20일,1938.32,1.5502869857623174
351,2020년 11월 27일,2048.27,1.6179341553447248
352,2020년 12월 04일,2129.26,1.6632639888192196
353,2020년 12월 11일,2311.71,1.753663999911846
354,2020년 12월 18일,2411.82,1.7974147620844723
355,2020년 12월 25일,2641.87,1.8853024536288745
356,2020년 12월 31일,2783.03,1.9319878692095276
357,2021년 01월 08일,2870.34,1.9585487992182529
358,2021년 01월 15일,2885.0,1.9628497912011482
359,2021년 01월 22일,2868.95,1.958138698708052
360,2021년 01월 29일,2861.69,1.9559902121560206
361,2021년 02월 05일,2884.61,1.9627359421354698
362,2021년 02월 10일,2825.75,1.9451904941843743
363,2021년 02월 19일,2875.93,1.960194019814165
364,2021년 02월 26일,2775.29,1.9295520032920375
365,2021년 03월 05일,2721.94,1.9123824915818919
366,2021년 03월 12일,2637.53,1.8837873190023424
367,2021년 03월 19일,2583.87,1.864630448686206
368,2021년 03월 26일,2570.68,1.8597981877214615
369,2021년 04월 02일,2585.42,1.8651950421061416
370,2021년 04월 09일,2652.12,1.8888609936596377
371,2021년 04월 16일,2833.42,1.9475184423592142
372,2021년 04월 23일,2979.76,1.989622443146217
373,2021년 04월 30일,3100.74,2.0214078148996615
374,2021년 05월 07일,3095.16,2.019996830735011
375,2021년 05월 14일,3343.34,2.0781667316199073
376,2021년 05월 21일,3432.5,2.0969960729825416
377,2021년 05월 28일,3495.76,2.109768925295842
378,2021년 06월 04일,3613.07,2.1322626449878017
379,2021년 06월 11일,3703.93,2.148698371710095
380,2021년 06월 18일,3748.36,2.1564431202884884
381,2021년 06월 25일,3785.4,2.16275969880733
382,2021년 07월 02일,3905.14,2.182353623551256
383,2021년 07월 09일,3932.35,2.186638569013615
384,2021년 07월 16일,4054.42,2.2051487771862255
385,2021년 07월 23일,4100.0,2.2117756380135454
386,2021년 07월 30일,4196.24,2.225291543286508
387,2021년 08월 06일,4225.86,2.229326547124467
388,2021년 08월 13일,4281.53,2.2367580307942574
389,2021년 08월 20일,4340.18,2.244379560146136
